;Sp_red;Sp;Genus;Tribe;Subfamily;Diet;DietCVA;Labial.X;Labial.Y;Posterior.X;Posterior.Y;Lingual.X;Lingual.Y;Anterior.X;Anterior.Y;curveLM.5.X;curveLM.5.Y;curveLM.6.X;curveLM.6.Y;curveLM.7.X;curveLM.7.Y;curveLM.8.X;curveLM.8.Y;curveLM.9.X;curveLM.9.Y;curveLM.10.X;curveLM.10.Y;curveLM.11.X;curveLM.11.Y;curveLM.12.X;curveLM.12.Y;curveLM.13.X;curveLM.13.Y;curveLM.14.X;curveLM.14.Y;curveLM.15.X;curveLM.15.Y;curveLM.16.X;curveLM.16.Y;curveLM.17.X;curveLM.17.Y;curveLM.18.X;curveLM.18.Y;curveLM.19.X;curveLM.19.Y;curveLM.20.X;curveLM.20.Y;curveLM.21.X;curveLM.21.Y;curveLM.22.X;curveLM.22.Y;curveLM.23.X;curveLM.23.Y;curveLM.24.X;curveLM.24.Y;curveLM.25.X;curveLM.25.Y;curveLM.26.X;curveLM.26.Y;curveLM.27.X;curveLM.27.Y;curveLM.28.X;curveLM.28.Y;curveLM.29.X;curveLM.29.Y;curveLM.30.X;curveLM.30.Y;curveLM.31.X;curveLM.31.Y;curveLM.32.X;curveLM.32.Y;curveLM.33.X;curveLM.33.Y;curveLM.34.X;curveLM.34.Y;curveLM.35.X;curveLM.35.Y;curveLM.36.X;curveLM.36.Y;curveLM.37.X;curveLM.37.Y;curveLM.38.X;curveLM.38.Y;curveLM.39.X;curveLM.39.Y;curveLM.40.X;curveLM.40.Y;curveLM.41.X;curveLM.41.Y;curveLM.42.X;curveLM.42.Y;curveLM.43.X;curveLM.43.Y;curveLM.44.X;curveLM.44.Y;curveLM.45.X;curveLM.45.Y;curveLM.46.X;curveLM.46.Y;curveLM.47.X;curveLM.47.Y;curveLM.48.X;curveLM.48.Y;curveLM.49.X;curveLM.49.Y;curveLM.50.X;curveLM.50.Y;curveLM.51.X;curveLM.51.Y;curveLM.52.X;curveLM.52.Y;curveLM.53.X;curveLM.53.Y;curveLM.54.X;curveLM.54.Y;curveLM.55.X;curveLM.55.Y;curveLM.56.X;curveLM.56.Y;curveLM.57.X;curveLM.57.Y;curveLM.58.X;curveLM.58.Y;curveLM.59.X;curveLM.59.Y;curveLM.60.X;curveLM.60.Y;curveLM.61.X;curveLM.61.Y;curveLM.62.X;curveLM.62.Y;curveLM.63.X;curveLM.63.Y;curveLM.64.X;curveLM.64.Y
1;Aer_tep;Aeromys tephromelas;Aeromys;Pteromyini;Sciurinae;Seeds_nuts;chew_crush;-0.049048287;-0.093746117;-0.101058668;0.058989592;0.058744926;0.099902014;0.109266511;-0.058855212;-0.061606152;-0.091160576;-0.074688545;-0.089517898;-0.088198268;-0.087633185;-0.101911835;-0.084606199;-0.115127386;-0.079268566;-0.127066559;-0.070811734;-0.137171243;-0.060078828;-0.143713753;-0.047242417;-0.146929042;-0.033233977;-0.147214078;-0.018809408;-0.14368604;-0.004785932;-0.137300336;0.008482499;-0.128618632;0.020953619;-0.119803568;0.033707797;-0.110628449;0.046413246;-0.092077013;0.068840194;-0.083236563;0.079109382;-0.074482433;0.089612065;-0.065274553;0.099567112;-0.056796902;0.109660291;-0.048214418;0.118848089;-0.039026483;0.126232334;-0.028887081;0.131132619;-0.018240419;0.134009878;-0.006903981;0.133536681;0.004705066;0.131154182;0.015958719;0.126528766;0.026807892;0.119999202;0.037873258;0.11343388;0.04842247;0.106372525;0.068289194;0.093473526;0.077410256;0.086815631;0.085840525;0.079506085;0.09321384;0.071149515;0.100393032;0.062537554;0.106455671;0.053002464;0.112415339;0.043361233;0.11710824;0.033007408;0.120356722;0.022040206;0.122909696;0.010864763;0.122607716;-0.000672193;0.120646993;-0.01235534;0.118006565;-0.023945403;0.115647551;-0.03564287;0.112710628;-0.047226308;0.104178699;-0.07023854;0.098854815;-0.081694062;0.092190271;-0.092314215;0.08400579;-0.101270069;0.074704317;-0.108683126;0.064142004;-0.113955739;0.053159981;-0.118209552;0.041525786;-0.120652775;0.029437546;-0.12124438;0.01717845;-0.119574059;0.00523833;-0.115458258;-0.006434693;-0.110491493;-0.017278316;-0.104207972;-0.02771724;-0.098541092;-0.038368693;-0.095385424
2;Aer_tho;Aeromys thomasi;Aeromys;Pteromyini;Sciurinae;Frugivorous;chew_crush;-0.05070062;-0.099081942;-0.098485262;0.05831922;0.055298238;0.094862392;0.108368072;-0.063497831;-0.062455674;-0.096046191;-0.074964302;-0.095177181;-0.08777755;-0.09511959;-0.100449407;-0.092363052;-0.112503093;-0.086629855;-0.122941296;-0.076709807;-0.132143783;-0.06426156;-0.13855847;-0.049855074;-0.142120179;-0.034482268;-0.142553121;-0.018710276;-0.14033121;-0.003563995;-0.135489409;0.010097515;-0.125937601;0.021312481;-0.116085254;0.033014293;-0.105858527;0.044518685;-0.090893843;0.069306683;-0.085167942;0.081514527;-0.080852791;0.094260035;-0.075630009;0.105996937;-0.067767397;0.11533303;-0.057477333;0.122007148;-0.047520027;0.128826649;-0.035678921;0.131404447;-0.022943249;0.132848708;-0.010025556;0.1342123;0.002595108;0.132870107;0.014206624;0.12783574;0.024490008;0.120082535;0.032579984;0.109539849;0.044258148;0.102798292;0.065699119;0.086899619;0.07599224;0.079400942;0.086758737;0.073001206;0.096635786;0.065793328;0.106758916;0.059767982;0.114373356;0.051472799;0.119153984;0.040858338;0.123419719;0.029502437;0.126749037;0.017617454;0.129109526;0.00540684;0.130330097;-0.006752752;0.128336197;-0.018568545;0.123592848;-0.029799722;0.118478168;-0.041065055;0.113388419;-0.052360972;0.102389773;-0.073627278;0.09656401;-0.083525359;0.088416273;-0.091484669;0.080017243;-0.098956203;0.070642696;-0.104697165;0.060725261;-0.109061338;0.049963787;-0.111047005;0.038736027;-0.112287305;0.02710792;-0.111674264;0.015288953;-0.10964534;0.003590397;-0.106774422;-0.007702956;-0.103173687;-0.019020926;-0.101220939;-0.030029114;-0.100565004;-0.040593283;-0.099805109
3;Amm_har;Ammospermophilus harrisii;Ammospermophilus;Marmotini;Xerinae;Seeds_nuts;chew_crush;-0.046645303;-0.088772738;-0.105648243;0.062089349;0.054012564;0.099357228;0.117609077;-0.059042098;-0.059469731;-0.088112596;-0.073437724;-0.088572799;-0.087890858;-0.088739694;-0.102501975;-0.08504757;-0.117099868;-0.079299881;-0.130411133;-0.06998539;-0.141400941;-0.057390528;-0.14966903;-0.04306853;-0.154529965;-0.027913962;-0.155720326;-0.012460905;-0.153058093;0.002232836;-0.14636801;0.015489957;-0.137244396;0.02778199;-0.126392429;0.039003259;-0.116158803;0.050831911;-0.09634237;0.070219311;-0.087412162;0.078542126;-0.078865473;0.087186392;-0.070192583;0.095485891;-0.061011246;0.102904697;-0.051091902;0.108970901;-0.041092861;0.114449759;-0.030165683;0.117426032;-0.018571941;0.118824144;-0.00678722;0.12015888;0.004846437;0.120740343;0.01609956;0.119401505;0.026801962;0.116572557;0.036863217;0.112785341;0.045774106;0.106776167;0.062128306;0.090662469;0.070066475;0.082013948;0.079281984;0.073733794;0.088886779;0.065288482;0.099145162;0.056940979;0.108583707;0.047236042;0.117934466;0.037723548;0.126084671;0.028085888;0.130847836;0.016921446;0.134654104;0.005698606;0.135295405;-0.006110246;0.13415465;-0.017765988;0.131553462;-0.028586546;0.126977359;-0.03883385;0.123854967;-0.04968259;0.111010166;-0.068657476;0.103388183;-0.077882686;0.095465516;-0.087060717;0.085755547;-0.094056966;0.07611202;-0.100862548;0.065720396;-0.105954593;0.054551515;-0.108777461;0.042838731;-0.110896639;0.030680564;-0.111535754;0.018375175;-0.11055188;0.006314136;-0.107742606;-0.005342607;-0.104254251;-0.016251767;-0.099402952;-0.026857961;-0.095401001;-0.03681998;-0.091496963
4;Amm_int;Ammospermophilus interpres;Ammospermophilus;Marmotini;Xerinae;Seeds_nuts;chew_crush;-0.046039056;-0.086643087;-0.106272607;0.062461763;0.05496481;0.09733659;0.117293818;-0.059781727;-0.058534955;-0.085199782;-0.072476958;-0.085127668;-0.086953936;-0.084124461;-0.102086616;-0.081425647;-0.116962351;-0.076101225;-0.130794964;-0.067774121;-0.141878698;-0.055907924;-0.149894974;-0.042180637;-0.154358857;-0.027428373;-0.155513197;-0.012334478;-0.153121841;0.001997813;-0.145824661;0.0147341;-0.136471063;0.026975174;-0.126440728;0.03908168;-0.116238536;0.050915959;-0.09770473;0.07100988;-0.089739665;0.079798378;-0.080915692;0.087658508;-0.072384285;0.095864642;-0.063257006;0.103063631;-0.05366385;0.109271727;-0.043624562;0.114454117;-0.033105228;0.118629207;-0.021973378;0.120915198;-0.010406946;0.121538487;0.001296565;0.12019153;0.012912789;0.117577068;0.024221659;0.114135198;0.03506376;0.109552657;0.045314702;0.103931262;0.064161506;0.089692832;0.073868137;0.082481502;0.0835304;0.074827222;0.093014666;0.066738375;0.102233889;0.058242809;0.110968128;0.049281345;0.118421271;0.03948554;0.124250898;0.02891288;0.128919129;0.018074171;0.131836441;0.006898629;0.132107706;-0.004744154;0.131637987;-0.01640625;0.129653306;-0.027729088;0.126717557;-0.038715411;0.122324338;-0.049308111;0.110947576;-0.069675359;0.103763553;-0.079226675;0.095547202;-0.088204265;0.086842543;-0.096459546;0.076713995;-0.102630811;0.065890503;-0.107499436;0.054248495;-0.110348331;0.042408497;-0.112938547;0.030141989;-0.11305503;0.017691079;-0.111208847;0.005349945;-0.108802602;-0.006299744;-0.104824277;-0.017376055;-0.10009189;-0.027527418;-0.095056434;-0.036551039;-0.089755421
5;Amm_leu;Ammospermophilus leucurus;Ammospermophilus;Marmotini;Xerinae;Mixed_feeder;mixed_feeder;-0.046803848;-0.086101619;-0.103693797;0.062077067;0.056326714;0.098771878;0.119462841;-0.061915664;-0.059517866;-0.087417511;-0.073520684;-0.088356931;-0.088289657;-0.088542267;-0.103419471;-0.086510227;-0.11806709;-0.081533514;-0.131117089;-0.072142293;-0.142713512;-0.06058614;-0.150196187;-0.046469859;-0.153863655;-0.031008306;-0.155972306;-0.015719889;-0.153012372;-0.001624813;-0.144586964;0.010981649;-0.135013581;0.024043999;-0.124567509;0.036902557;-0.114298312;0.049836539;-0.094515544;0.071079555;-0.086242193;0.080640791;-0.077754604;0.089810586;-0.069250257;0.098671546;-0.060530971;0.106787209;-0.051105129;0.113383842;-0.041297296;0.118690974;-0.031044387;0.122648172;-0.019848672;0.124214486;-0.008303502;0.12501478;0.003374677;0.123685496;0.014752079;0.120447712;0.025924976;0.116413339;0.036822935;0.111686579;0.04690535;0.105615998;0.065112737;0.090895666;0.073501532;0.082373285;0.082457741;0.074300255;0.090745294;0.065405579;0.098905844;0.056331651;0.106778508;0.046865718;0.11373912;0.03680123;0.119303079;0.026047266;0.124005528;0.014966885;0.127549888;0.003699775;0.129256983;-0.007741476;0.128668409;-0.019150209;0.127238803;-0.030281335;0.125562007;-0.041187052;0.123050942;-0.051714787;0.113968854;-0.071354491;0.107200978;-0.08027361;0.098638891;-0.088204191;0.089570183;-0.095759565;0.07898185;-0.101274345;0.067794646;-0.105905104;0.056086059;-0.109253475;0.043892916;-0.111158475;0.031246885;-0.110513902;0.018488783;-0.109217763;0.006216925;-0.105756874;-0.005706533;-0.10136135;-0.017018698;-0.096441527;-0.027388482;-0.091266342;-0.037052266;-0.087193249
6;Amm_nel;Ammospermophilus nelsoni;Ammospermophilus;Marmotini;Xerinae;Mixed_feeder;mixed_feeder;-0.045620939;-0.085359322;-0.103655028;0.060511572;0.057093436;0.100295057;0.115832014;-0.059300022;-0.055688995;-0.080078099;-0.068210423;-0.080815831;-0.082231963;-0.083904012;-0.097620179;-0.083851755;-0.113217656;-0.080607181;-0.127842955;-0.073300921;-0.139944262;-0.061631315;-0.149386415;-0.04801648;-0.154851132;-0.033057419;-0.156141917;-0.017443484;-0.153652595;-0.002455671;-0.146777889;0.011383582;-0.136900874;0.024272508;-0.125999224;0.036750189;-0.114936597;0.049002089;-0.094696661;0.069727344;-0.085797591;0.078733991;-0.077372776;0.088009616;-0.068652844;0.096835354;-0.0592231;0.104716579;-0.049744866;0.111902709;-0.039945651;0.117916385;-0.029535499;0.122109721;-0.018666849;0.124672048;-0.007158637;0.124588205;0.004650887;0.123374207;0.016214461;0.120220109;0.027584779;0.116857715;0.038012272;0.11183244;0.047895466;0.106388201;0.06630731;0.093544906;0.074792722;0.085482285;0.083585443;0.077416101;0.092520476;0.069175911;0.100913966;0.060108161;0.10895737;0.050603215;0.116914348;0.041310356;0.122419157;0.030661623;0.126973464;0.019725574;0.129276117;0.008115694;0.129926755;-0.003805202;0.129720263;-0.015547717;0.128066669;-0.026892116;0.124651315;-0.037907545;0.120892252;-0.048820243;0.109094825;-0.069148173;0.101603884;-0.078981576;0.092815552;-0.088193769;0.083224546;-0.096533415;0.07314091;-0.103881003;0.062101009;-0.109153163;0.050637983;-0.11301567;0.038849805;-0.115584303;0.026696762;-0.115565738;0.014439756;-0.114389528;0.002572172;-0.111419346;-0.008778391;-0.107244251;-0.019419783;-0.102033632;-0.02925901;-0.09665906;-0.037999275;-0.091075088
7;Atl_get;Atlantoxerus getulus;Atlantoxerus;Xerini;Xerinae;Seeds_nuts;chew_crush;-0.045911449;-0.089929615;-0.09753152;0.056467623;0.054037048;0.098460705;0.111060979;-0.053672492;-0.05851397;-0.087911888;-0.072610278;-0.090750419;-0.088161506;-0.091751153;-0.1045341;-0.090009305;-0.120553608;-0.084383507;-0.135349061;-0.074598344;-0.147578468;-0.061301483;-0.157130983;-0.046570358;-0.162908575;-0.031245358;-0.163192435;-0.015475356;-0.159140935;-0.000538554;-0.149932633;0.012365822;-0.13762813;0.023954199;-0.124023005;0.034959139;-0.110675709;0.045847008;-0.088286894;0.065932387;-0.078631819;0.074417954;-0.069481954;0.083134847;-0.05998402;0.091386152;-0.050904824;0.099518579;-0.04268644;0.107892305;-0.033513355;0.11430646;-0.024862369;0.120385374;-0.015296867;0.123641335;-0.005173052;0.124571635;0.00521554;0.123368594;0.015644681;0.120645661;0.025911406;0.116733033;0.035879725;0.111982308;0.045247543;0.105972014;0.063220266;0.09023481;0.072687084;0.081746252;0.082982646;0.073895785;0.093687535;0.066511824;0.104783035;0.060018248;0.114461759;0.051782863;0.123586859;0.043510388;0.130745179;0.034345099;0.135390815;0.024204466;0.136998224;0.013056861;0.137091737;0.001587371;0.134398153;-0.009787204;0.129788081;-0.020962693;0.123945744;-0.031950227;0.117916073;-0.043067361;0.104119447;-0.064002358;0.096137931;-0.073694836;0.087243804;-0.082819007;0.078131455;-0.091401047;0.068787446;-0.099086077;0.058444735;-0.104607314;0.047735393;-0.108780894;0.036600765;-0.111351821;0.025261777;-0.112426074;0.013910642;-0.112734152;0.002915814;-0.11073089;-0.00769403;-0.107256603;-0.017851432;-0.102810364;-0.027582149;-0.09825895;-0.036687555;-0.093537503
8;Bel_pea;Belomys pearsonii;Belomys;Pteromyini;Sciurinae;Folivore;chew_crush;-0.047755815;-0.094887691;-0.095734018;0.056066572;0.057115027;0.100098506;0.115968752;-0.060978799;-0.061302773;-0.09261962;-0.075565772;-0.088938433;-0.091109474;-0.087053283;-0.107416605;-0.085224834;-0.123187847;-0.08082034;-0.137422471;-0.073614909;-0.147846758;-0.062577682;-0.153938355;-0.04851446;-0.156783454;-0.033370209;-0.155745801;-0.017732858;-0.15107773;-0.002702393;-0.142857229;0.010727948;-0.131254334;0.021955249;-0.118492708;0.032461615;-0.106812013;0.043815011;-0.086793792;0.066154143;-0.078731211;0.076748177;-0.069744569;0.086302188;-0.061033388;0.095772855;-0.052761705;0.105062759;-0.045928287;0.114444954;-0.039182038;0.122616521;-0.031042601;0.127863083;-0.021201703;0.12934976;-0.010370569;0.12903232;0.001072215;0.126719453;0.012606323;0.12270208;0.02415417;0.117926357;0.035575638;0.112672514;0.046665885;0.106777111;0.067254724;0.093189806;0.077336645;0.086522798;0.086382827;0.078629765;0.094362308;0.069621568;0.102310999;0.060486223;0.10977995;0.050941663;0.116005381;0.040466892;0.121161084;0.029583644;0.124115851;0.017976274;0.125161458;0.005850669;0.124670245;-0.006329032;0.1224885;-0.01804922;0.1216807;-0.029598012;0.121514109;-0.04059227;0.120018847;-0.051186401;0.109865312;-0.069621087;0.102552405;-0.077695073;0.093727169;-0.084616452;0.083992347;-0.090702472;0.074512259;-0.097633425;0.064405746;-0.103638526;0.053570586;-0.108021745;0.042023002;-0.110688709;0.029916926;-0.111257755;0.017637799;-0.11040754;0.00568383;-0.109413909;-0.005696205;-0.107545931;-0.016600257;-0.104724744;-0.027042266;-0.100981002;-0.037301853;-0.097317565
9;Cal_can;Callosciurus caniceps;Callosciurus;Callosciurini;Callosciurinae;Browser;chew_crush;-0.044839943;-0.090777142;-0.105047166;0.061683912;0.05555722;0.098247181;0.116760914;-0.060005458;-0.057880583;-0.089847875;-0.072047105;-0.089307271;-0.086928693;-0.088468269;-0.102110784;-0.085407298;-0.117048384;-0.079938081;-0.13078451;-0.071350579;-0.141438691;-0.058875608;-0.149592956;-0.044891923;-0.153551333;-0.029627052;-0.154185415;-0.013956303;-0.151337038;0.001096886;-0.145306107;0.014803429;-0.135539033;0.026430622;-0.124254649;0.037244342;-0.113916538;0.048933651;-0.096636321;0.071049029;-0.088005844;0.080165436;-0.079440608;0.089290775;-0.07108599;0.098431773;-0.062134302;0.106561544;-0.052302514;0.113159358;-0.041882671;0.11843887;-0.03055735;0.12125115;-0.018600785;0.122972223;-0.006301638;0.123893177;0.005924348;0.123852308;0.017682523;0.122403092;0.028593369;0.119324893;0.038334407;0.11358637;0.047302149;0.106482123;0.064429008;0.090242838;0.073056476;0.081561844;0.081724782;0.072636193;0.090361383;0.063640425;0.099992237;0.055672275;0.108833111;0.046910124;0.116744537;0.037662373;0.123100606;0.02788596;0.127098625;0.017225871;0.128885196;0.005867475;0.129565682;-0.005635232;0.129716436;-0.017085202;0.127526527;-0.028163616;0.124149244;-0.038965449;0.120953203;-0.04973333;0.110617105;-0.069290224;0.103664788;-0.078293255;0.09529997;-0.086300066;0.085775152;-0.092981349;0.075419176;-0.098407491;0.064723648;-0.103468802;0.05347196;-0.107187468;0.041924334;-0.110105579;0.029919926;-0.111421006;0.017903261;-0.111851765;0.006152678;-0.110357702;-0.004986752;-0.107104734;-0.015389692;-0.102145413;-0.025378206;-0.097198921;-0.034879712;-0.092796763
10;Cal_ery;Callosciurus erythraeus;Callosciurus;Callosciurini;Callosciurinae;Seeds_nuts;chew_crush;-0.046698388;-0.089085492;-0.109382454;0.063374574;0.054226045;0.095784108;0.117663064;-0.063093502;-0.059036718;-0.087620174;-0.072202207;-0.087200102;-0.085858169;-0.085757854;-0.099954625;-0.082876923;-0.113666979;-0.077143943;-0.126824199;-0.069348787;-0.137176413;-0.058081935;-0.145106211;-0.045389591;-0.148261263;-0.030996798;-0.14867681;-0.015893477;-0.145630718;-0.001175962;-0.140250504;0.012869979;-0.134443739;0.026699701;-0.126329783;0.03923925;-0.117775922;0.051360786;-0.101302564;0.072407952;-0.093686855;0.081887198;-0.084642913;0.090056232;-0.075517223;0.098332697;-0.065653721;0.105543949;-0.054909553;0.111223918;-0.043391388;0.115161614;-0.031807749;0.119107594;-0.02003607;0.122458088;-0.008283339;0.124657759;0.003557119;0.124108213;0.015071076;0.12194868;0.025772796;0.117256368;0.035803325;0.111177482;0.045045668;0.10363305;0.063684492;0.088255765;0.073436179;0.081016386;0.083570937;0.074006579;0.093692538;0.067081419;0.102995473;0.059067348;0.111471741;0.050219005;0.118890318;0.040768839;0.124260044;0.030269092;0.127241677;0.018669017;0.129829358;0.00674186;0.130352017;-0.00555357;0.129523918;-0.017860893;0.127951327;-0.029913504;0.125869707;-0.041509681;0.122211809;-0.052448406;0.112095888;-0.073181231;0.10506791;-0.082401441;0.095475014;-0.089748262;0.085166897;-0.096581557;0.074348565;-0.102322711;0.062885546;-0.106202405;0.051116948;-0.108237465;0.03933411;-0.111129152;0.027177497;-0.113026079;0.015019953;-0.113129038;0.003209952;-0.110989284;-0.007767301;-0.106433146;-0.01812492;-0.101064843;-0.02757739;-0.095326326;-0.036957722;-0.091413072
11;Cal_fin;Callosciurus finlaysonii;Callosciurus;Callosciurini;Callosciurinae;Seeds_nuts;chew_crush;-0.045915689;-0.092036332;-0.108264876;0.061852775;0.056078397;0.099197627;0.11764724;-0.060629924;-0.058453187;-0.090458255;-0.071748502;-0.088974207;-0.085388279;-0.086196399;-0.099387504;-0.082073066;-0.113051422;-0.075470591;-0.125746703;-0.065910166;-0.13663864;-0.053911217;-0.144930844;-0.04065132;-0.149503935;-0.026481025;-0.150320321;-0.01174224;-0.148119321;0.00262991;-0.14297753;0.015977642;-0.136065724;0.028466511;-0.127081983;0.03968478;-0.117556845;0.050640832;-0.10111048;0.071545514;-0.093738126;0.081163377;-0.085335723;0.089928107;-0.076221987;0.097940647;-0.065892852;0.104367212;-0.055009514;0.1100966;-0.043816517;0.114967236;-0.03182411;0.117925565;-0.019339148;0.120050628;-0.006946548;0.122625949;0.005279508;0.123717974;0.016950779;0.12260525;0.027790056;0.119205396;0.037706274;0.113610601;0.047140362;0.106847987;0.065276922;0.091586963;0.074182949;0.08348528;0.083359098;0.075448674;0.092408207;0.067183426;0.100909822;0.058268646;0.108919072;0.048889011;0.115608218;0.038764939;0.121323807;0.028226611;0.125548514;0.017171582;0.127838712;0.005500565;0.12889231;-0.006335247;0.129389667;-0.017898216;0.127336353;-0.028964287;0.125042021;-0.039952707;0.12215749;-0.050617298;0.111416193;-0.069909206;0.104013099;-0.078931344;0.094852944;-0.086918828;0.084988036;-0.094285429;0.074576361;-0.100932925;0.063600964;-0.10646791;0.052904591;-0.111939764;0.041738024;-0.115304739;0.029869563;-0.115389274;0.017811261;-0.114989408;0.006157229;-0.112292453;-0.004881391;-0.107827997;-0.015231898;-0.102444977;-0.025384766;-0.097406235;-0.035607743;-0.09388922
12;Cal_lat;Callospermophilus lateralis;Callospermophilus;Marmotini;Xerinae;Browser;chew_crush;-0.050223963;-0.094825873;-0.099766593;0.059568706;0.058032134;0.102151411;0.11344582;-0.059175866;-0.062558489;-0.094924262;-0.075732782;-0.094859794;-0.089131196;-0.094812759;-0.102583199;-0.092918512;-0.115560573;-0.087697114;-0.127339787;-0.079085305;-0.137773605;-0.068400995;-0.144221564;-0.055198977;-0.146087918;-0.040049849;-0.145526484;-0.023927629;-0.142560493;-0.008049518;-0.136125026;0.006661569;-0.12821145;0.020592013;-0.119182779;0.033861032;-0.109532287;0.046750455;-0.092217049;0.070623644;-0.084693669;0.081748537;-0.075447507;0.091552263;-0.066301847;0.101404771;-0.056065344;0.109807788;-0.045275646;0.117061383;-0.034102791;0.123075978;-0.02269858;0.127716069;-0.010738893;0.130013388;0.001165869;0.131617379;0.012713346;0.132087407;0.023351227;0.129565047;0.033376457;0.124891312;0.042302378;0.118214944;0.050626177;0.110623863;0.065199482;0.093315669;0.072111782;0.084263264;0.08018193;0.076027972;0.088636129;0.067860113;0.097401965;0.059833584;0.105943625;0.05162529;0.112839982;0.042375919;0.117669002;0.031796191;0.121645257;0.020546847;0.124158532;0.008730388;0.125478309;-0.003341393;0.125049445;-0.015319881;0.123385476;-0.026840409;0.121469457;-0.038081075;0.117882129;-0.048791409;0.106708707;-0.068734734;0.099529694;-0.078471837;0.091090308;-0.087543089;0.081629421;-0.095619491;0.071225678;-0.102300503;0.060622853;-0.108222396;0.049316973;-0.112063327;0.037586693;-0.11471107;0.025655749;-0.11600111;0.013777246;-0.115174782;0.002328679;-0.111768537;-0.008642799;-0.107043838;-0.019340753;-0.102434428;-0.029695625;-0.098365326;-0.040037977;-0.096080697
13;Cal_mad;Callospermophilus madrensis;Callospermophilus;Marmotini;Xerinae;Browser;chew_crush;-0.046227393;-0.088529368;-0.10478141;0.06241093;0.055349467;0.095581803;0.114184247;-0.05790668;-0.059288306;-0.087662301;-0.073298889;-0.087515379;-0.087628964;-0.087445645;-0.102200755;-0.085579714;-0.116680169;-0.081600518;-0.130141902;-0.075042364;-0.140544829;-0.064842648;-0.14707959;-0.051616118;-0.150657922;-0.037001491;-0.150495645;-0.021541991;-0.146313288;-0.006132234;-0.140574832;0.009026149;-0.133031202;0.023416528;-0.124187436;0.037032564;-0.114549237;0.049900926;-0.096661494;0.07249405;-0.088072425;0.082164318;-0.078402475;0.090860897;-0.068281029;0.099181621;-0.058143137;0.107207603;-0.047945354;0.114534367;-0.037612515;0.120706547;-0.026863256;0.125244739;-0.015759671;0.128275828;-0.004534735;0.129413573;0.00672693;0.127755261;0.017598908;0.124141042;0.028035805;0.119039828;0.037506261;0.111826216;0.046485071;0.103756216;0.064163474;0.087459858;0.073387021;0.079795913;0.082637922;0.072095664;0.092253682;0.06493277;0.101271998;0.057449919;0.109545226;0.049189925;0.117073958;0.040464982;0.123121631;0.031113884;0.126892058;0.020846834;0.128397919;0.009765341;0.128564687;-0.00177882;0.127237376;-0.013344726;0.125051045;-0.024817868;0.122592031;-0.03621846;0.119051321;-0.047220661;0.107669537;-0.068180634;0.100381089;-0.078528939;0.090941163;-0.087484212;0.08161654;-0.096724881;0.071405745;-0.104377069;0.061154546;-0.111074276;0.050023171;-0.115350964;0.038628545;-0.118149203;0.02722448;-0.119021841;0.016103025;-0.116787253;0.005547792;-0.111808387;-0.004244207;-0.105515983;-0.014658069;-0.099419598;-0.025214269;-0.094186026;-0.035786881;-0.090630534
14;Cal_mel;Callosciurus melanogaster;Callosciurus;Callosciurini;Callosciurinae;Browser;chew_crush;-0.046370936;-0.090290956;-0.106148811;0.062478438;0.054124768;0.098053602;0.115479124;-0.058491156;-0.058368449;-0.090618707;-0.071499993;-0.089977637;-0.085244674;-0.089703031;-0.099145949;-0.086224599;-0.113011578;-0.080620099;-0.125828273;-0.071875183;-0.136399656;-0.060109187;-0.1434475;-0.046029091;-0.146252218;-0.030263428;-0.146962765;-0.013907671;-0.145573399;0.00188889;-0.142157693;0.016433681;-0.135258474;0.029085334;-0.125621846;0.040095316;-0.115582806;0.051028949;-0.09827308;0.071908331;-0.090616503;0.081635332;-0.082260461;0.090755001;-0.072941788;0.098897567;-0.063575525;0.10660959;-0.053699507;0.113209143;-0.043306635;0.118350085;-0.031808998;0.12090758;-0.019753873;0.122889809;-0.007472737;0.124643649;0.004692798;0.12514894;0.016280375;0.123934295;0.026926521;0.120120135;0.036531702;0.113898509;0.045433103;0.106203404;0.063267324;0.090062748;0.072509878;0.082010315;0.081405512;0.073358132;0.090378907;0.064752317;0.099954933;0.056818599;0.109025446;0.048651403;0.117127446;0.039826936;0.123771243;0.030347704;0.127928569;0.019831921;0.130323574;0.008655089;0.131042195;-0.002907687;0.130332235;-0.014455488;0.128544883;-0.025803173;0.124842696;-0.036730069;0.120507716;-0.047632307;0.109040376;-0.068938181;0.101139365;-0.078812672;0.092542248;-0.088440978;0.0828512;-0.096835947;0.072433897;-0.103964819;0.061465728;-0.109466219;0.049772251;-0.113139535;0.037708255;-0.115664964;0.025549726;-0.116898843;0.013439588;-0.115365701;0.001658898;-0.112282057;-0.009494384;-0.108081793;-0.019512111;-0.102536635;-0.02837392;-0.096483179;-0.037175061;-0.092337661
